materials property GapC ETC VBdispC CBdispC GapS ETS IPS EAS PolarTensorS AtomNumC RhoC EpsilonC MolWtS
VEBJES 0.5480496999999995 1.00414 0.925934886 0.031219999999999998 0.01432 1.07363098 0.828595545 5.7493603460000005 1.7048856959999998 1478.225 152 0.723586315 2.887750795 582
VEBJIW 0.3263977999999996 0.8601 0.913783694 0.09024 0.07031 1.09539174 0.835411695 5.924363049 1.658232989 1089.303 448 0.7308465140000001 2.92410641 430
VEBJOC 0.3663759 0.92642 0.820390119 0.07836 0.13078 1.04205861 0.808381754 5.633828621 1.826982219 1868.692 96 0.767761865 3.088541942 734
VEBKAP 0.6509065999999999 0.60127 0.722682189 0.10067000000000001 0.0852 1.11892762 0.854350257 6.043494143999999 1.6186372390000001 895.909 184 0.7617683359999999 3.0239808060000004 354
VEHCAM 0.5711726999999995 2.10635 2.122239986 0.02153 0.054329999999999996 2.26549363 2.049649643 6.306743305 1.244251842 1850.0929999999998 384 0.72610235 2.87219407 734
VUFHUA 0.23446210000000045 1.92222 2.17304372 0.35875 0.48468999999999995 2.52460799 2.4072334769999997 6.671436022000001 1.3367644029999999 1363.4 268 0.913153779 4.518702466000001 550
XECJIZ 0.5740718 1.19171 1.211018797 0.08349 0.21319000000000002 1.5653896999999999 1.27751219 6.267906106 1.287676475 964.668 100 0.77271382 3.1222102439999997 380
YITJAN 0.7720406999999998 2.15013 2.19476934 0.03148 0.03708 2.48265119 2.177211353 6.869508657000001 0.7661026479999999 771.9630000000001 320 0.766929575 3.57123988 304
YOFCUR 0.3601644999999998 1.41848 1.522684022 0.28257 0.2355 1.74923892 1.615327826 6.057957194 1.643983758 1463.507 136 0.940468828 3.720680655 596
YUNYAJ 0.16529999999999978 1.34454 1.508228747 0.15698 0.48015 1.75980867 1.589764769 6.240025625 1.40176624 1047.475 100 0.9200420779999999 3.659280025 849
ZZZNKU01 0.5991422000000002 2.14776 2.243411413 0.13272 0.34751 2.39829125 2.241662208 6.510116039 1.238810901 979.209 104 0.777513311 3.713367867 382
ZZZNTQ01 0.496575 2.0251200000000003 2.113756978 0.12785 0.35003 2.2738144 2.141995826 6.317458032 1.435026893 1174.448 124 0.7838199220000001 3.1798007960000003 458
ZZZOYC01 0.6967755000000007 2.31318 2.57179032 0.55072 0.28001 2.95012428 2.724236258 7.03357399 0.516605133 702.622 72 0.789354456 3.14698368 278
